model,dataset,metric,rmin,rmax,is_canon,n,raw_mean,raw_std,norm_mean,norm_std,norm_skew,norm_ent,pct_int,pct_min,pct_max,n_uniq
gemma2_9b,newsroom,inf,0,100,False,419,40.44152744630072,33.89733613707102,0.4044152744630072,0.3389733613707102,0.3502298783260085,2.2110284680986347,100.0,21.24,7.16,12
gemma2_9b,newsroom,rel,0,1,False,420,0.315,0.2747098035936762,0.315,0.2747098035936762,0.7638952185364642,2.077969785125466,20.24,18.81,1.43,11
gemma2_9b,newsroom,rel,1,3,False,419,1.4899761336515511,0.6537899419639412,0.2449880668257756,0.3268949709819705,0.9015800964727934,1.2412673896136612,79.24,58.95,4.06,6
gemma2_9b,newsroom,rel,1,5,True,419,2.094510739856802,1.180022020244429,0.2736276849642005,0.2950055050611073,0.6349262202024131,1.4686952464091134,96.18,44.39,0.72,9
gemma2_9b,newsroom,rel,0,10,False,420,3.581190476190476,2.9079289818905174,0.3581190476190476,0.2907928981890517,0.4491874826472311,2.1758944758720977,98.81,17.14,0.24,13
gemma2_9b,newsroom,rel,0,100,False,420,38.871428571428574,29.83729917014453,0.3887142857142857,0.2983729917014453,0.2612483085537699,2.1901936685689014,100.0,15.48,0.0,12
gemma2_9b,tc,coh,0,1,True,348,0.3824712643678161,0.2651342899419067,0.3824712643678161,0.2651342899419067,0.3224320985818326,1.876795563881437,12.07,12.07,0.0,10
gemma2_9b,tc,coh,1,3,False,348,1.5172413793103448,0.601474604914221,0.2586206896551724,0.3007373024571105,0.518152027042209,1.061472498438499,86.21,54.89,1.15,5
gemma2_9b,tc,coh,1,5,False,346,2.315028901734104,1.2059125172103862,0.328757225433526,0.3014781293025965,0.221090525895034,1.4535928319841835,97.11,37.28,0.0,7
gemma2_9b,tc,coh,0,10,False,346,3.9985549132947975,2.6980774987351754,0.3998554913294798,0.2698077498735176,0.1356789555438968,2.1378138916585803,97.98,8.38,0.0,11
gemma2_9b,tc,coh,0,100,False,346,45.14450867052023,26.48714240192526,0.4514450867052023,0.2648714240192525,-0.0043916442693463,2.2327245142160868,100.0,5.78,0.0,12
gemma2_9b,tc,eng,0,1,False,346,0.3341040462427745,0.2344441973262049,0.3341040462427745,0.2344441973262049,0.6353054431071213,1.880022464153173,8.09,8.09,0.0,8
gemma2_9b,tc,eng,1,3,True,344,1.5116279069767442,0.5830789576456241,0.2558139534883721,0.291539478822812,0.4827420601595544,1.1315392719780035,80.23,52.91,0.0,4
gemma2_9b,tc,eng,1,5,False,341,2.2595307917888565,1.0922031394077834,0.3148826979472141,0.2730507848519458,0.2435288944664225,1.5657763390437884,92.08,33.14,0.0,6
gemma2_9b,tc,eng,0,10,False,338,3.807692307692308,2.3737344806476117,0.3807692307692308,0.2373734480647611,0.2701756269180528,2.0139538092201525,94.08,7.1,0.0,11
gemma2_9b,tc,eng,0,100,False,342,40.599415204678365,25.067284886637385,0.4059941520467836,0.2506728488663738,0.1021168101494781,2.2391904280388557,100.0,5.26,0.0,12
gemma2_9b,tc,gro,0,1,True,335,0.3092537313432835,0.3594411642338403,0.3092537313432835,0.3594411642338403,0.6490414595269915,1.577388132740384,52.84,47.46,5.37,10
gemma2_9b,tc,gro,1,3,False,332,1.5376506024096386,0.693731327698092,0.2688253012048193,0.346865663849046,0.8869217459643578,0.9963859157015412,97.89,58.13,10.84,4
gemma2_9b,tc,gro,1,5,False,330,2.345454545454545,1.366945479857767,0.3363636363636363,0.3417363699644417,0.3432914899452939,1.3635452232906486,100.0,44.24,3.94,5
gemma2_9b,tc,gro,0,10,False,329,3.723404255319149,3.2977056532048854,0.3723404255319149,0.3297705653204886,0.2862026858553857,2.016663576768065,100.0,24.92,0.91,10
gemma2_9b,tc,gro,0,100,False,331,41.3595166163142,32.87292283870866,0.413595166163142,0.3287292283870866,0.1358465818740161,2.0511202286388914,100.0,19.94,0.6,10
gemma2_9b,tc,nat,0,1,False,328,0.4701219512195122,0.2642707125622209,0.4701219512195122,0.2642707125622209,0.0310579140211479,1.9563069282901064,3.05,3.05,0.0,9
gemma2_9b,tc,nat,1,3,True,326,1.6625766871165644,0.63724732893086,0.3312883435582822,0.31862366446543,0.2018914927255526,1.2290948418155312,78.53,44.17,2.45,5
gemma2_9b,tc,nat,1,5,False,326,2.5076687116564416,1.2343881873205444,0.3769171779141104,0.3085970468301361,-0.0176186101382667,1.4562020708007948,96.63,32.21,0.0,6
gemma2_9b,tc,nat,0,10,False,325,4.795384615384616,2.7596783964931504,0.4795384615384616,0.275967839649315,-0.140065867335368,2.33706914796188,83.08,3.08,0.0,13
gemma2_9b,tc,nat,0,100,False,325,51.46153846153846,27.513955576748504,0.5146153846153846,0.275139555767485,-0.2699903141752632,2.3118558860285927,100.0,2.46,0.0,13
gemma2_9b,wp_a,coh,0,1,False,400,0.287,0.2322304889544006,0.287,0.2322304889544006,0.9481879104756996,1.801868802260349,16.5,16.5,0.0,10
gemma2_9b,wp_a,coh,1,3,False,400,1.3725,0.5916026960722881,0.18625,0.295801348036144,1.1364986527771468,0.9362785202068498,82.5,69.25,0.75,5
gemma2_9b,wp_a,coh,1,5,True,400,1.87375,1.1256935362255571,0.2184375,0.2814233840563893,1.0465721582279794,1.2978898734326263,94.75,53.0,0.0,7
gemma2_9b,wp_a,coh,0,10,False,400,2.83375,2.6048965310545444,0.283375,0.2604896531054544,0.7724917129777586,2.159144357546712,91.75,23.25,0.0,14
gemma2_9b,wp_a,coh,0,100,False,400,31.2125,26.14798928694136,0.312125,0.2614798928694136,0.7410508040812572,2.201179415524762,100.0,13.5,0.0,13
gemma2_9b,wp_a,enj,0,1,False,400,0.29125,0.2297791058821493,0.29125,0.2297791058821493,0.8600517666648652,1.8817696097617864,10.75,10.75,0.0,8
gemma2_9b,wp_a,enj,1,3,False,400,1.5125,0.6122448448129229,0.25625,0.3061224224064614,0.6468143537710919,1.2136264230029157,67.0,52.75,0.25,5
gemma2_9b,wp_a,enj,1,5,True,400,2.07625,1.1151506344436164,0.2690625,0.2787876586109041,0.5370653983272883,1.5518822052806782,89.25,43.0,0.0,7
gemma2_9b,wp_a,enj,0,10,False,400,3.28875,2.5216063208796093,0.328875,0.2521606320879609,0.5852971743220724,2.0976787082386217,86.25,6.75,0.0,13
gemma2_9b,wp_a,enj,0,100,False,400,33.7875,25.929565051307744,0.337875,0.2592956505130774,0.5502461257018764,2.093590869533108,100.0,4.25,0.0,12
gemma2_9b,wp_a,gra,0,1,False,400,0.58,0.2019900987672415,0.58,0.2019900987672415,-0.0702567925715058,1.986179019166288,0.5,0.5,0.0,9
gemma2_9b,wp_a,gra,1,3,False,399,2.0671679197994988,0.5239619161708484,0.5335839598997494,0.2619809580854242,-0.3758465006163892,1.5403947700380656,49.62,8.77,3.51,6
gemma2_9b,wp_a,gra,1,5,True,399,3.0070175438596496,0.9324561992940942,0.5017543859649123,0.2331140498235235,0.1443276757785211,1.6825519170023937,76.94,3.01,0.0,8
gemma2_9b,wp_a,gra,0,10,False,400,5.74,2.0551520625004853,0.5740000000000001,0.2055152062500485,0.041418540890656,2.116166479261515,79.5,0.0,0.0,13
gemma2_9b,wp_a,gra,0,100,False,400,64.0125,19.133409099007945,0.6401250000000002,0.1913340909900794,-0.2275952636913923,2.247859543324129,100.0,0.25,0.0,13
gemma2_9b,wp_a,rel,0,1,False,400,0.2117499999999999,0.272739688164374,0.2117499999999999,0.272739688164374,1.1607070518797182,1.6173135060512158,49.0,48.75,0.25,10
gemma2_9b,wp_a,rel,1,3,False,400,1.36475,0.6036409839465839,0.182375,0.3018204919732919,1.258431346508145,0.9717582263031176,78.0,70.0,1.0,6
gemma2_9b,wp_a,rel,1,5,True,400,1.81125,1.182158380886419,0.2028125,0.2955395952216047,1.1343355632065004,1.2822297752537366,91.75,61.75,0.25,8
gemma2_9b,wp_a,rel,0,10,False,400,2.44,2.961654942764265,0.244,0.2961654942764264,0.9456732711624206,1.8537092131484192,98.0,44.0,0.25,13
gemma2_9b,wp_a,rel,0,100,False,400,25.175,29.83444946701715,0.25175,0.2983444946701715,0.9318773053895508,1.9501353110883863,100.0,39.75,0.25,14
gemma3_27b,summeval,coh,0,1,False,1600,0.7444062499999999,0.1573063014025105,0.7444062499999999,0.1573063014025105,-1.3076030455409924,1.7593511928861338,3.0,0.0,3.0,14
gemma3_27b,summeval,coh,1,3,False,1600,2.2009375,0.4539056852406124,0.60046875,0.2269528426203062,0.270186673820751,1.145589393486092,78.69,2.5,16.81,5
